search_term,match_rank,loinc,loinc_url,status,long_common_name,short_name,class_type,component,property,time_aspect,system,scale_type,method_type,example_units,class
Serum Beta HCG,1,19180-9,https://loinc.org/19180-9,ACTIVE,Choriogonadotropin.beta subunit free [Units/volume] in Serum or Plasma,B-HCG Free SerPl-aCnc,1,Choriogonadotropin.beta subunit.free,ACnc,Pt,Ser/Plas,Qn,,IU/L,CHEM
Serum Beta HCG,2,25373-2,https://loinc.org/25373-2,ACTIVE,Choriogonadotropin.beta subunit free [Mass/volume] in Serum or Plasma,B-HCG Free SerPl-mCnc,1,Choriogonadotropin.beta subunit.free,MCnc,Pt,Ser/Plas,Qn,,ng/mL,CHEM
Serum Beta HCG,3,32122-4,https://loinc.org/32122-4,ACTIVE,Choriogonadotropin.beta subunit free [Multiple of the median] in Serum or Plasma,B-HCG Free MoM SerPl,1,Choriogonadotropin.beta subunit.free,MoM,Pt,Ser/Plas,Qn,,M.o.M,CHEM
Serum Beta HCG,4,2115-4,https://loinc.org/2115-4,ACTIVE,Choriogonadotropin.beta subunit free [Moles/volume] in Serum or Plasma,B-HCG Free SerPl-sCnc,1,Choriogonadotropin.beta subunit.free,SCnc,Pt,Ser/Plas,Qn,,mmol/L,CHEM
Serum Beta HCG,5,45293-8,https://loinc.org/45293-8,ACTIVE,Choriogonadotropin.beta subunit.free multiple of the median [Percentile],B-HCG Free MoM Prctl SerPl,1,Choriogonadotropin.beta subunit.free multiple of the median,Prctl,Pt,Ser/Plas,SemiQn,,,CHEM
Serum Beta HCG,6,21198-7,https://loinc.org/21198-7,ACTIVE,Choriogonadotropin.beta subunit [Units/volume] in Serum or Plasma,B-HCG SerPl-aCnc,1,Choriogonadotropin.beta subunit,ACnc,Pt,Ser/Plas,Qn,,IU/L; mU/mL,CHEM
Serum Beta HCG,7,55869-2,https://loinc.org/55869-2,ACTIVE,Choriogonadotropin.beta subunit [Mass/volume] in Serum or Plasma,B-HCG SerPl-mCnc,1,Choriogonadotropin.beta subunit,MCnc,Pt,Ser/Plas,Qn,,ng/mL,CHEM
Serum Beta HCG,8,55868-4,https://loinc.org/55868-4,ACTIVE,Choriogonadotropin.beta subunit [Multiple of the median] in Serum or Plasma,B-HCG MoM SerPl,1,Choriogonadotropin.beta subunit,MoM,Pt,Ser/Plas,Qn,,M.o.M,CHEM
Serum Beta HCG,9,2110-5,https://loinc.org/2110-5,ACTIVE,Choriogonadotropin.beta subunit [Presence] in Serum or Plasma,B-HCG SerPl Ql,1,Choriogonadotropin.beta subunit,PrThr,Pt,Ser/Plas,Ord,,,CHEM
Serum Beta HCG,10,2111-3,https://loinc.org/2111-3,ACTIVE,Choriogonadotropin.beta subunit [Moles/volume] in Serum or Plasma,B-HCG SerPl-sCnc,1,Choriogonadotropin.beta subunit,SCnc,Pt,Ser/Plas,Qn,,mmol/L,CHEM
Serum Beta HCG,11,23841-0,https://loinc.org/23841-0,ACTIVE,Choriogonadotropin.beta subunit [Multiple of the median] adjusted in Serum or Plasma,B-HCG adj MoM SerPl,1,Choriogonadotropin.beta subunit^^adjusted,MoM,Pt,Ser/Plas,Qn,,M.o.M,CHEM
Serum Beta HCG,13,99306-3,https://loinc.org/99306-3,ACTIVE,Choriogonadotropin.beta subunit heterophile Ab interference panel - Serum,B-HCG heterph Ab intrf Pnl Ser,1,Choriogonadotropin.beta subunit heterophile Ab interference panel,-,Pt,Ser,-,,,PANEL.CHEM
Serum Beta HCG,14,99307-1,https://loinc.org/99307-1,ACTIVE,Choriogonadotropin.beta subunit heterophile Ab interference [Presence] in Serum,B-HCG heterph Ab intrf Ser Ql,1,Choriogonadotropin.beta subunit heterophile Ab interference,PrThr,Pt,Ser,Ord,,,CHEM
Serum Beta HCG,15,20415-6,https://loinc.org/20415-6,ACTIVE,Choriogonadotropin.beta subunit [Units/volume] in Serum or Plasma by Immunoassay (EIA) 3rd IS,B-HCG SerPl EIA 3rd IS-aCnc,1,Choriogonadotropin.beta subunit,ACnc,Pt,Ser/Plas,Qn,EIA.3rd IS,mIU/mL,CHEM
